SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,FACE VALUE,Index,BSE_Security_Code,Listed_Company_Name,Ticker_Symbol,Official_Issuer_Name,Listing_Status,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,Instrument,ISIN
,,,,,,,2359,532083,Shri Kalyan Holdings Ltd.,SHKALYN,Shri Kalyan Holdings Ltd,Active,XT,10.0,INE079N01019,Equity,,,,,
,,,,,,,2360,532090,Atvo Enterprises Limited,ATVOENT,Atvo Enterprises Ltd,Active,X ,1.0,INE219M01021,Equity,,,,,
,,,,,,,2361,532092,EPUJA SPIRITECH LIMITED,EPUJA,Epuja Spiritech Ltd,Active,XT,1.0,INE807D01030,Equity,,,,,
,,,,,,,2362,532100,Indo-City Infotech Ltd.,INDOCITY,Indo City Infotech Ltd-$,Active,X ,10.0,INE456B01014,Equity,,,,,
,,,,,,,2363,532102,SBEC Sugar Ltd.,SBECSUG,SBEC Sugar Ltd,Active,X ,10.0,INE948G01019,Equity,,,,,
,,,,,,,2364,532105,Mega Fin (India) Ltd.,MEGFI,Mega Fin India Ltd,Active,ZP,10.0,INE524D01015,Equity,,,,,
,,,,,,,2365,532113,Brijlaxmi Leasing & Finance ltd.,BRIJLEAS,Brijlaxmi Leasing & Finance Ltd,Active,XT,10.0,INE957E01031,Equity,,,,,
,,,,,,,2366,532123,BSEL ALGO LIMITED,BSELALGO,BSEL Algo Ltd,Active,X ,10.0,INE395A01016,Equity,,,,,
,,,,,,,2367,532124,Reliable Ventures India Ltd,RELIABVEN,Reliable Ventures India Ltd,Active,X ,10.0,INE419H01019,Equity,,,,,
,,,,,,,2368,532131,Triumph International Finance India,TRIUMPIN,Triumph International Finance India Ltd,Active,X ,10.0,INE382B01012,Equity,,,,,
,,,,,,,2369,532134,Bank Of Baroda,BANKBARODA,Bank of Baroda,Active,A ,2.0,INE028A01039,Equity,,,,,
,,,,,,,2370,532138,SMC Credits ltd.,SMCREDT,SMC Credits Ltd,Active,XT,10.0,INE440E01012,Equity,,,,,
,,,,,,,2371,532139,G-Tech Info-Training Ltd.,GTEIT,G-Tech Info-Training Ltd,Active,XT,1.0,INE634D01038,Equity,,,,,
,,,,,,,2372,532140,Mohite Industries Limited,MOHITE,Mohite Industries Ltd,Active,X ,1.0,INE154B01023,Equity,,,,,
,,,,,,,2373,532141,Andhra Cement Ltd.,ACL,Andhra Cements Ltd,Active,B ,10.0,INE666E01020,Equity,,,,,
,,,,,,,2374,532143,SKM Egg Products Exports (India) Lt,SKMEGGPROD,SKM Egg Products Export (India) Ltd,Active,B ,5.0,INE411D01023,Equity,,,,,
,,,,,,,2375,532144,Welspun Corp Limited,WELCORP,Welspun Corp Ltd,Active,A ,5.0,INE191B01025,Equity,,,,,
,,,,,,,2376,532145,H.S.India Ltd.,HOTLSILV,H S India Ltd,Active,X ,10.0,INE731B01010,Equity,,,,,
,,,,,,,2377,532149,Bank of India,BANKINDIA,Bank of India,Active,A ,10.0,INE084A01016,Equity,,,,,
,,,,,,,2378,532150,Indraprastha Medical Corporation Lt,INDRAMEDCO,Indraprastha Medical Corporation Ltd,Active,B ,10.0,INE681B01017,Equity,,,,,
,,,,,,,2379,532154,JOHNSON PHARMACARE LIMITED,JOHNPHARMA,Johnson Pharmacare Ltd,Active,X ,1.0,INE560F01022,Equity,,,,,
,,,,,,,2380,532155,Gail (India) Ltd.,GAIL,Gail (India) Ltd,Active,A ,10.0,INE129A01019,Equity,,,,,
,,,,,,,2381,532156,Vaibhav Global Ltd,VAIBHAVGBL,Vaibhav Global Ltd,Active,B ,2.0,INE884A01027,Equity,,,,,
,,,,,,,2382,532159,TRESCON LIMITED,TRESCON,Trescon Ltd,Active,X ,10.0,INE088D01011,Equity,,,,,
,,,,,,,2383,532160,Gujarat State Financial corporation,GUJSTATFIN,Gujarat State Financial Corporation,Active,B ,10.0,INE944A01011,Equity,,,,,
,,,,,,,2384,532162,JK Paper Ltd.,JKPAPER,JK Paper Ltd,Active,A ,10.0,INE789E01012,Equity,,,,,
,,,,,,,2385,532163,Saregama India Ltd.,SAREGAMA,Saregama India Ltd,Active,A ,1.0,INE979A01025,Equity,,,,,
,,,,,,,2386,532164,Minolta Finance Ltd.,MINOLTAF,Minolta Finance Ltd,Active,Z ,1.0,INE514C01026,Equity,,,,,
,,,,,,,2387,532167,Omkar Pharmachem Ltd.,OMKARPH,Omkar Pharmachem Ltd,Active,XT,10.0,INE501C01015,Equity,,,,,
,,,,,,,2388,532172,Adroit Infotech Limited,ADROITINFO,Adroit Infotech Ltd,Active,B ,10.0,INE737B01033,Equity,,,,,
,,,,,,,2389,532173,Cybertech Systems and Software Ltd.,CYBERTECH,CyberTech Systems and Software Ltd,Active,B ,10.0,INE214A01019,Equity,,,,,
,,,,,,,2390,532174,ICICI Bank Ltd.,ICICIBANK,ICICI Bank Ltd,Active,A ,2.0,INE090A01021,Equity,,,,,
,,,,,,,2391,532175,Cyient Limited,CYIENT,Cyient Ltd,Active,A ,5.0,INE136B01020,Equity,,,,,
,,,,,,,2392,532178,Engineers India Ltd.,ENGINERSIN,Engineers India Ltd,Active,A ,5.0,INE510A01028,Equity,,,,,
,,,,,,,2393,532180,Dhanlaxmi Bank Limited,DHANBANK,Dhanlaxmi Bank Ltd,Active,B ,10.0,INE680A01011,Equity,,,,,
,,,,,,,2394,532181,Gujarat Mineral Development Corpora,GMDCLTD,Gujarat Mineral Development Corporation Ltd,Active,A ,2.0,INE131A01031,Equity,,,,,
,,,,,,,2395,532183,Gayatri Sugars Ltd.,GAYATRI,Gayatri Sugars Ltd,Active,X ,10.0,INE622E01023,Equity,,,,,
,,,,,,,2396,532187,IndusInd Bank Ltd.,INDUSINDBK,Indusind Bank Ltd,Active,A ,10.0,INE095A01012,Equity,,,,,
,,,,,,,2397,532189,India Tourism Development Corporati,ITDC,India Tourism Development Corporation Ltd,Active,B ,10.0,INE353K01014,Equity,,,,,
,,,,,,,2398,532209,Jammu and Kashmir Bank Ltd.,J&KBANK,Jammu & Kashmir Bank Ltd,Active,A ,1.0,INE168A01041,Equity,,,,,
,,,,,,,2399,532210,City Union Bank Ltd,CUB,City Union Bank Ltd,Active,A ,1.0,INE491A01021,Equity,,,,,
,,,,,,,2400,532212,Archies Ltd.,ARCHIES,Archies Ltd,Active,B ,2.0,INE731A01020,Equity,,,,,
,,,,,,,2401,532215,AXIS Bank Ltd.,AXISBANK,AXIS Bank Ltd,Active,A ,2.0,INE238A01034,Equity,,,,,
,,,,,,,2402,532216,HB Stockholdings Ltd.,HBSL,HB Stockholdings Ltd,Active,T ,10.0,INE550B01022,Equity,,,,,
,,,,,,,2403,532217,CMX HOLDINGS LIMITED,CMXLTD,CMX Holdings Ltd,Active,XT,10.0,INE027F01014,Equity,,,,,
,,,,,,,2404,532218,South Indian Bank Ltd.,SOUTHBANK,South Indian Bank Ltd,Active,A ,1.0,INE683A01023,Equity,,,,,
,,,,,,,2405,532219,Energy Development Company Ltd.,ENERGYDEV,Energy Development Company Ltd,Active,T ,10.0,INE306C01019,Equity,,,,,
,,,,,,,2406,532221,Sonata Software Ltd.,SONATSOFTW,Sonata Software Ltd,Active,A ,1.0,INE269A01021,Equity,,,,,
,,,,,,,2407,532230,Bengal Tea & fabrics Ltd.,BENGALT,Bengal Tea & Fabrics Ltd,Active,X ,10.0,INE665D01016,Equity,,,,,
,,,,,,,2408,532234,National Aluminium Co. Ltd.,NATIONALUM,National Aluminium Company Ltd,Active,A ,5.0,INE139A01034,Equity,,,,,
,,,,,,,2409,532240,India Nippon Electricals Ltd,INDNIPPON,India Nippon Electricals Ltd,Active,B ,5.0,INE092B01025,Equity,,,,,
,,,,,,,2410,532256,Nalwa Sons Investment Ltd,NSIL,Nalwa Sons Investments Ltd,Active,B ,10.0,INE023A01030,Equity,,,,,
,,,,,,,2411,532259,Apar Industries Ltd,APARINDS,Apar Industries Ltd,Active,A ,10.0,INE372A01015,Equity,,,,,
